"","patch","id","Elements2008","Elements2008.4","cat","type","Ha","area","x","y","size.cat","sizeCat","size.cat2","pj08","pj89","pop09","grazing","Dc.89","Dc.09","Sampled"
"41","A38",41,3,2,"5","A",1.403223835,0.014,4425422.904,5422707.752,2500,"2.5","50",0.77,0.56,4,2,1,1,1
"42","A39",42,1,1,"2","A",0.045214109,5e-04,4425771.527,5422488.257,100,"0.1","10",0.46,0.46,1,1,0,1,1
"43","A40",43,2,1,"3","A",0.0044004,0,4425938.238,5423221.371,25,"0.025","5",0.69,0.23,1,1,0,1,1
"44","A41",44,2,2,"1","A",0.051242552,5e-04,4426025.864,5423333.213,400,"0.4","20",0.44,0.44,0,1,0,0,0
"45","A42",45,1,1,"3","B",0.038611973,4e-04,4426570.778,5423369.979,400,"0.4","20",0.25,0.33,0,1,0,0,0
"46","A43",46,3,2,"4","A",0.477784376,0.0048,4428956.874,5421204.214,400,"0.4","20",0.65,0.67,3,1,1,1,0
"47","A44",47,1,1,"5","AC",0.096296133,0.001,4423025.79,5426587.944,2500,"2.5","50",0.6,0.42,1,3,0,1,1
"48","A45",48,2,2,"4","A",0.132336819,0.0013,4423096.681,5426959.184,2500,"2.5","50",0.67,0.5,2,2,0,1,1
"49","A46",49,1,1,"3","A",0.014380822,1e-04,4423144.436,5427368.64,400,"0.4","10",0.52,0.42,2,3,1,1,1
"50","A47",50,2,2,"5","C",0.376524056,0.0038,4427937.304,5434444.492,2500,"2.5","50",0.35,0.23,0,1,0,0,0
"51","A48",51,2,2,"3","B",0.215021543,0.0022,4428320.843,5434711.608,400,"0.4","20",0.52,0.38,0,1,0,0,0
"52","A49",52,2,2,"4","B",0.326564854,0.0033,4428060.832,5434343.32,2500,"2.5","50",0.73,0.44,2,2,1,1,0
"53","A50",53,4,3,"3","A",0.113352093,0.0011,4428114.42,5434243.038,400,"0.4","20",0.6,0.63,2,2,1,1,0
"54","A51",54,0,0,"3","A",0.011038,1e-04,4428203.5,5434486.467,NA,NA,NA,NA,0.4,0,1,1,0,0
"55","A51a",55,4,3,"4","A",0.150914393,0.0015,4428138.643,5434401.555,2500,"2.5","50",0.63,0.54,2,2,1,1,0
"56","A52",56,4,3,"4","A",0.138449935,0.0014,4428252.01,5434517.004,2500,"2.5","50",0.67,0.44,2,2,0,1,0
